Red Fighter,Blue Fighter,Predicted Result,Probability
Nate Landwehr,David Onama,loss,0.4991287044891268
Marlon Vera,Dominick Cruz,win,0.5738959943139024
Amir Albazi,Francisco Figueiredo,win,0.7428812246950013
Sean Woodson,Luis Saldana,win,0.6088096301561592
Leonardo Santos,Jared Gordon,win,0.5439128926444126
Marcin Tybura,Alexandr Romanov,loss,0.6726187832746378
Tyson Pedro,Harry Hunsucker,win,0.7232366379463991
Jose Aldo,Merab Dvalishvili,loss,0.7113898001915492
Paulo Costa,Luke Rockhold,loss,0.5500718267309214
Kamaru Usman,Leon Edwards,win,0.650808233103909
John Makdessi,Nasrat Haqparast,win,0.637511751434104
Charles Jourdain,Nathaniel Wood,loss,0.5306742083154583
Alessio Di Chirico,Roman Kopylov,loss,0.5465035960857886
Nassourdine Imavov,Joaquin Buckley,loss,0.5013986806379737
Robert Whittaker,Marvin Vettori,loss,0.5062279226867807
Ciryl Gane,Tai Tuivasa,win,0.8052010805115614
Jake Collier,Chris Barnett,win,0.7807695512857807
Hakeem Dawodu,Julian Erosa,win,0.686599240137178
Johnny Walker,Ion Cutelaba,win,0.5162443922891152
Li Jingliang,Daniel Rodriguez,loss,0.5676025620616271
Khamzat Chimaev,Kevin Holland,win,0.6623246481845032
Nate Diaz,Tony Ferguson,loss,0.5445632973967275
Damon Jackson,Pat Sabatini,loss,0.5788941821205666
Anthony Hernandez,Marc-Andre Barriault,win,0.6926223190803615
Tanner Boser,Rodrigo Nascimento,win,0.7738681182839584
Andre Fili,Bill Algeo,loss,0.6034408187179302
Chidi Njokuani,Gregory Rodrigues,loss,0.5463533185483572
Cory Sandhagen,Song Yadong,loss,0.5166902679593498
Guido Cannetti,Randy Costa,loss,0.5277860095697573
Krzysztof Jotko,Brendan Allen,loss,0.588970472511626
Joaquim Silva,Jesse Ronson,win,0.5619533557227424
Ilir Latifi,Aleksei Oleinik,win,0.6229346095210376
Mike Davis,Viacheslav Borshchev,win,0.6637272488403408
Raoni Barcelos,Trevin Jones,win,0.6934578894058808
Randy Brown,Francisco Trinaldo,win,0.6329762652478395
Nick Maximov,Jacob Malkoun,win,0.5095332841456679
Mana Martinez,Brandon Davis,win,0.5998223304067406
Misha Cirkunov,Alonzo Menifield,loss,0.7187900870926174
Jordan Wright,Dusko Todorovic,loss,0.5004982425341062
Cub Swanson,Jonathan Martinez,loss,0.5677115643202787
Muhammad Mokaev,Malcolm Gordon,win,0.6498459864341548
Volkan Oezdemir,Nikita Krylov,win,0.5333649002142116
Makhmud Muradov,Caio Borralho,win,0.6001541696644974
Belal Muhammad,Sean Brady,win,0.5239452126303836
Beneil Dariush,Mateusz Gamrot,win,0.6290182871327324
Petr Yan,Sean O'Malley,loss,0.5537319617126003
Aljamain Sterling,TJ Dillashaw,win,0.6990166683473096
Charles Oliveira,Islam Makhachev,loss,0.6137046231276505
Chase Hooper,Steve Garcia,loss,0.516615442015238
Joseph Holmes,JunYong Park,loss,0.583254249258892
Andrei Arlovski,Marcos Rogerio de Lima,loss,0.689009332659003
Phil Hawes,Roman Dolidze,win,0.6385803665721411
Dustin Jacoby,Khalil Rountree Jr.,win,0.7554757703304492
Tim Means,Max Griffin,loss,0.5320382131229645
Calvin Kattar,Arnold Allen,loss,0.6386803360086246
Mario Bautista,Benito Lopez,win,0.6987148907942373
Grant Dawson,Mark Madsen,win,0.6520920672693545
Tagir Ulanbekov,Nate Maness,win,0.6773289419030336
Darrick Minner,Shayilan Nuerdanbieke,win,0.5222894492342292
Neil Magny,Daniel Rodriguez,loss,0.6325846188501884
Carlos Ulberg,Nicolae Negumereanu,win,0.7057398694148639
Julio Arce,Montel Jackson,loss,0.51723913618274
Michael Trizano,SeungWoo Choi,win,0.5559000052668366
Matt Frevola,Ottman Azaitar,loss,0.5532908129027246
Andre Petroski,Wellington Turman,win,0.5938259817219461
Dominick Reyes,Ryan Spann,win,0.5738817420950639
Brad Riddell,Renato Moicano,win,0.5420217686824483
Dan Hooker,Claudio Puelles,win,0.5271476877915253
Frankie Edgar,Chris Gutierrez,loss,0.6573005174309369
Dustin Poirier,Michael Chandler,win,0.6585092414348267
Israel Adesanya,Alex Pereira,win,0.569238454399237
Ricky Turcios,Kevin Natividad,win,0.5994292555655535
Vince Morales,Miles Johns,loss,0.6156326913112588
Jack Della Maddalena,Danny Roberts,win,0.7119640471223506
Andre Fialho,Muslim Salikhov,loss,0.5815854423185011
Kennedy Nzechukwu,Ion Cutelaba,win,0.6695069690984392
Darren Elkins,Jonathan Pearce,loss,0.72429846856785
Michael Johnson,Marc Diakiese,loss,0.7022179231395725
Clay Guida,Scott Holtzman,loss,0.6400401952456046
Niko Price,Phil Rowe,win,0.6089453503286374
Eryk Anders,Kyle Daukaus,loss,0.6050989025636523
Jack Hermansson,Roman Dolidze,win,0.5764850144951534
Tai Tuivasa,Sergei Pavlovich,loss,0.5407017055473919
Matheus Nicolau,Matt Schnell,win,0.6349488838212645
Bryan Barberena,Rafael Dos Anjos,loss,0.5491472445562997
Stephen Thompson,Kevin Holland,loss,0.643987552507535
Billy Quarantillo,Alexander Hernandez,win,0.547300179519546
Chris Curtis,Joaquin Buckley,loss,0.6059045404390654
Edmen Shahbazyan,Dalcha Lungiambula,win,0.7342249604213815
Jairzinho Rozenstruik,Chris Daukaus,win,0.5560862272885028
Bryce Mitchell,Ilia Topuria,win,0.6732210281381279
Darren Till,Dricus Du Plessis,loss,0.7441273212140473
Santiago Ponzinibbio,Alex Morono,loss,0.551560537530622
Paddy Pimblett,Jared Gordon,loss,0.6034866054625625
Jan Blachowicz,Magomed Ankalaev,loss,0.6111589520328948
Sergey Morozov,Journey Newson,win,0.5687129386019943
David Dvorak,Manel Kape,loss,0.5679961879905637
Said Nurmagomedov,Saidyokub Kakhramonov,loss,0.5402886669280885
Jake Matthews,Matthew Semelsberger,win,0.7237922880132128
Cody Brundage,Michal Oleksiejczuk,loss,0.5000922700055174
Drew Dober,Bobby Green,loss,0.6391998387573654
Alex Caceres,Julian Erosa,win,0.5977697987268493
