Red Fighter,Blue Fighter,Predicted Result,Probability,Actual Result
Donald Cerrone,Alex Morono,loss,0.5323833568618569,loss
Christos Giagos,Sean Soriano,win,0.6732983023921525,win
Lando Vannata,Mike Grundy,win,0.5637809504278222,win
Jacare Souza,Andre Muniz,win,0.715476147618308,loss
Shane Burgos,Edson Barboza,win,0.8008592445365419,loss
Matt Schnell,Rogerio Bontorin,win,0.8933635315401106,draw
Tony Ferguson,Beneil Dariush,loss,0.628837347271213,loss
Court McGee,Claudio Silva,win,0.5087626003678789,win
Jack Hermansson,Edmen Shahbazyan,win,0.7294154580012069,win
Ricardo Ramos,Bill Algeo,loss,0.6138684421025005,win
Rob Font,Cody Garbrandt,win,0.687352499248459,win
Sean Woodson,Youssef Zalal,loss,0.582458313680232,win
Francisco Trinaldo,Muslim Salikhov,loss,0.5525158933560389,loss
Tanner Boser,Ilir Latifi,win,0.8040483914930496,loss
Santiago Ponzinibbio,Miguel Baeza,loss,0.5883833371279561,win
Roman Dolidze,Laureano Staropoli,win,0.7385635731573913,win
Walt Harris,Marcin Tybura,loss,0.6756416783494827,loss
Jairzinho Rozenstruik,Augusto Sakai,win,0.5326907995217794,win
Carlos Felipe,Jake Collier,win,0.511823864160072,win
Fares Ziam,Luigi Vendramini,win,0.6533620908534468,win
Chase Hooper,Steven Peterson,win,0.5463339061781083,loss
Movsar Evloev,Hakeem Dawodu,win,0.6532668082970637,win
Eryk Anders,Darren Stewart,loss,0.5279000462144472,win
Drew Dober,Brad Riddell,loss,0.6363893895496838,loss
Paul Craig,Jamahal Hill,win,0.5712503961293346,win
Demian Maia,Belal Muhammad,win,0.5098973351858538,loss
Leon Edwards,Nate Diaz,win,0.8688373455182218,win
Deiveson Figueiredo,Brandon Moreno,win,0.5731181888518366,loss
Israel Adesanya,Marvin Vettori,loss,0.6514456013060151,win
Joaquim Silva,Ricky Glenn,loss,0.5622138015446044,loss
Khaos Williams,Matthew Semelsberger,loss,0.6128533434770225,win
Matt Brown,Dhiego Lima,win,0.6986090908743151,win
Wellington Turman,Bruno Silva,win,0.5230358440908892,loss
Julian Erosa,SeungWoo Choi,loss,0.5279029798778109,loss
Marlon Vera,Davey Grant,win,0.7851045000711105,win
Aleksei Oleinik,Serghei Spivac,loss,0.7274183103519533,loss
Chan Sung Jung,Dan Ige,win,0.5082927810326674,win
Yancy Medeiros,Damir Hadzovic,win,0.5037729004962103,loss
Charles Rosa,Justin Jaynes,win,0.5955561247202599,win
Marcin Prachnio,Ike Villanueva,win,0.5813992865056714,win
Kennedy Nzechukwu,Danilo Marques,loss,0.6440371422018663,win
Tim Means,Nicolas Dalby,win,0.767606043981293,win
Andre Fili,Daniel Pineda,win,0.5917495630438944,draw
Raoni Barcelos,Timur Valiev,win,0.521632365965617,loss
Tanner Boser,Ovince Saint Preux,win,0.8102173456046653,win
Ciryl Gane,Alexander Volkov,win,0.6422858866913156,win
Zhalgas Zhumagulov,Jerome Rivera,win,0.6659943111661214,win
Omari Akhmedov,Brad Tavares,win,0.6010173508541848,loss
Ryan Hall,Ilia Topuria,loss,0.5535330862614791,loss
Niko Price,Michel Pereira,loss,0.5264703389500233,loss
Carlos Condit,Max Griffin,loss,0.6258819992071679,loss
Tai Tuivasa,Greg Hardy,loss,0.5788340125606695,win
Gilbert Burns,Stephen Thompson,win,0.844509910165221,win
Dustin Poirier,Conor McGregor,win,0.810241820889823,win
Gabriel Benitez,Billy Quarantillo,loss,0.5027148579946675,loss
Jeremy Stephens,Mateusz Gamrot,loss,0.7160987114525429,loss
Islam Makhachev,Thiago Moises,win,0.7871466228411707,win
Julio Arce,Andre Ewell,win,0.5266875629823584,win
Nassourdine Imavov,Ian Heinisch,loss,0.5610501198673074,win
Punahele Soriano,Brendan Allen,loss,0.5301965855602537,loss
Adrian Yanez,Randy Costa,win,0.8117509325751356,win
Darren Elkins,Darrick Minner,win,0.5623916005931695,win
Kyler Phillips,Raulian Paiva,win,0.545573263855516,loss
Cory Sandhagen,TJ Dillashaw,loss,0.5592787010033267,loss
Ryan Benoit,Zarrukh Adashev,win,0.6455201876004864,loss
Danny Chavez,Kai Kamaka,loss,0.636721380334898,draw
Bryan Barberena,Jason Witt,loss,0.5666798854468801,loss
Uriah Hall,Sean Strickland,loss,0.7432249377132496,loss
Miles Johns,Anderson Dos Santos,win,0.7605320989032871,win
Manel Kape,Ode Osbourne,win,0.552948902389807,win
Alonzo Menifield,Ed Herman,win,0.7220317418948464,win
Bobby Green,Rafael Fiziev,loss,0.5102566811006083,loss
Song Yadong,Casey Kenney,loss,0.6953941412263939,win
Michael Chiesa,Vicente Luque,loss,0.5988748844213817,loss
Jose Aldo,Pedro Munhoz,loss,0.6500929449144696,win
Derrick Lewis,Ciryl Gane,loss,0.6131908709407211,loss
Brian Kelleher,Domingo Pilarte,win,0.6033300708145528,win
Alexandre Pantoja,Brandon Royval,win,0.6442440295469256,win
Vinc Pichel,Austin Hubbard,loss,0.5356332711355386,win
Parker Porter,Chase Sherman,win,0.7707502223192683,win
Clay Guida,Mark Madsen,loss,0.5934904316312335,loss
Jared Cannonier,Kelvin Gastelum,win,0.6316267395242323,win
Dustin Jacoby,Darren Stewart,win,0.643291191215463,win
Sam Alvey,Wellington Turman,win,0.5583494848427575,loss
Alessio Di Chirico,Abdul Razak Alhassan,win,0.6008508877727492,loss
Makhmud Muradov,Gerald Meerschaert,win,0.7349410075348708,loss
Kevin Lee,Daniel Rodriguez,win,0.5310956300699482,loss
Edson Barboza,Giga Chikadze,loss,0.5962903242709622,loss
Dalcha Lungiambula,Marc-Andre Barriault,loss,0.7072394151369664,loss
Julian Erosa,Charles Jourdain,loss,0.727574116082256,win
Modestas Bukauskas,Khalil Rountree Jr.,win,0.7668644433384574,loss
Alex Morono,David Zawada,win,0.6994942389541717,win
Tom Aspinall,Serghei Spivac,loss,0.5151157837981856,win
Derek Brunson,Darren Till,win,0.8286093803825583,win
Gustavo Lopez,Alatengheili,loss,0.5034471662771772,draw
Mike Rodriguez,Tafon Nchukwi,loss,0.5713049942406929,loss
Joaquin Buckley,Antonio Arroyo,loss,0.5639375581618896,win
Nate Maness,Tony Gravely,loss,0.5291634844757797,win
Arman Tsarukyan,Christos Giagos,win,0.6561217524886231,win
Ion Cutelaba,Devin Clark,win,0.6273509985876086,win
Anthony Smith,Ryan Spann,win,0.6102892731413349,win
Jonathan Pearce,Omar Morales,loss,0.5186618330866627,win
Shamil Abdurakhimov,Chris Daukaus,loss,0.6979038325917039,loss
Dan Hooker,Nasrat Haqparast,loss,0.5183643493936998,win
Marlon Moraes,Merab Dvalishvili,loss,0.789725610911801,loss
Curtis Blaydes,Jairzinho Rozenstruik,win,0.7684078482694784,win
Nick Diaz,Robbie Lawler,win,0.7529794251703209,loss
Alexander Volkanovski,Brian Ortega,win,0.8441467237674389,win
Alejandro Perez,Johnny Eduardo,win,0.9075892027239785,win
Devonte Smith,Jamie Mullarkey,win,0.8684284504684164,loss
Joe Solecki,Jared Gordon,win,0.8094630979038873,loss
Misha Cirkunov,Krzysztof Jotko,loss,0.530521476271414,loss
Alex Oliveira,Niko Price,win,0.5617586094907608,loss
Kevin Holland,Kyle Daukaus,win,0.7514791846810276,draw
Thiago Santos,Johnny Walker,win,0.5883149251563551,win
Charles Rosa,Damon Jackson,loss,0.6523929973633759,loss
Alexandr Romanov,Jared Vanderaa,win,0.8559089665758776,win
Chris Gutierrez,Felipe Colares,win,0.7652416818848273,win
Tim Elliott,Matheus Nicolau,loss,0.5729246037469425,loss
Randy Brown,Jared Gooden,win,0.5468251909612388,win
Batgerel Danaa,Brandon Davis,win,0.7491581648627136,win
Danny Roberts,Ramazan Emeev,loss,0.5983188705277441,win
Andrew Sanchez,Bruno Silva,loss,0.5599730070241055,loss
Nate Landwehr,Ludovit Klein,loss,0.7356732686342189,win
Andrei Arlovski,Carlos Felipe,win,0.6487033418151148,win
Khama Worthy,Jai Herbert,win,0.6801506390785673,loss
Jamie Pickett,Laureano Staropoli,win,0.6740101425651113,win
Nicolae Negumereanu,Ike Villanueva,win,0.6796935943078509,win
Francisco Trinaldo,Dwight Grant,win,0.6327313518437243,win
Alex Caceres,SeungWoo Choi,win,0.7080664004888748,win
Grant Dawson,Ricky Glenn,win,0.691972515984324,draw
Paulo Costa,Marvin Vettori,loss,0.5478115046322648,loss
Makwan Amirkhani,Lerone Murphy,loss,0.6644116138685872,loss
Ricardo Ramos,Zubaira Tukhugov,loss,0.6511710608154847,loss
Magomed Ankalaev,Volkan Oezdemir,win,0.8458780185919634,win
Li Jingliang,Khamzat Chimaev,loss,0.6471027604811994,loss
Alexander Volkov,Marcin Tybura,win,0.7699580984515064,win
Islam Makhachev,Dan Hooker,win,0.8744009088404132,win
Petr Yan,Cory Sandhagen,win,0.6619088420956492,win
Jan Blachowicz,Glover Teixeira,win,0.7904875371795054,loss
Dustin Jacoby,John Allan,win,0.6192236066818588,win
Edmen Shahbazyan,Nassourdine Imavov,loss,0.5300068811462096,loss
Al Iaquinta,Bobby Green,loss,0.6414798642138326,loss
Justin Gaethje,Michael Chandler,win,0.782684814064445,win
Shane Burgos,Billy Quarantillo,win,0.5986781209712206,win
Frankie Edgar,Marlon Vera,win,0.5138117987692556,loss
Kamaru Usman,Colby Covington,win,0.7958532470009683,win
Kennedy Nzechukwu,Da Woon Jung,loss,0.5306791538442,loss
Thiago Moises,Joel Alvarez,win,0.639759609744153,loss
Song Yadong,Julio Arce,loss,0.5253143658939606,win
Miguel Baeza,Khaos Williams,win,0.7790412872205503,loss
Ben Rothwell,Marcos Rogerio de Lima,win,0.5189550781465616,loss
Max Holloway,Yair Rodriguez,win,0.6698211380387216,win
Davey Grant,Adrian Yanez,loss,0.5575248695420905,loss
Rani Yahya,Kyung Ho Kang,loss,0.7795938777986531,win
Michael Chiesa,Sean Brady,loss,0.7236787922641722,loss
Louis Smolka,Vince Morales,win,0.6824383997401727,loss
Claudio Puelles,Chris Gruetzemacher,win,0.8875502227676549,win
Alonzo Menifield,William Knight,win,0.7962793129404231,loss
Manel Kape,Zhalgas Zhumagulov,win,0.6018491188380461,win
Maki Pitolo,Dusko Todorovic,win,0.5589534060480661,loss
Alex Morono,Mickey Gall,win,0.6631937353211333,win
Clay Guida,Leonardo Santos,loss,0.7739907370105857,win
Jimmy Crute,Jamahal Hill,win,0.7506378486987396,loss
Brad Riddell,Rafael Fiziev,win,0.5555153615021121,loss
Rob Font,Jose Aldo,win,0.8875809670968324,loss
Randy Costa,Tony Kelley,win,0.6663427513710067,loss
Ryan Hall,Darrick Minner,win,0.636749582274204,win
Andre Muniz,Eryk Anders,loss,0.5040659971610281,win
Jordan Wright,Bruno Silva,loss,0.7792423238008209,loss
Augusto Sakai,Tai Tuivasa,loss,0.818913672909266,loss
Pedro Munhoz,Dominick Cruz,win,0.5147584792605938,loss
Josh Emmett,Dan Ige,win,0.5039574574090061,win
Raulian Paiva,Sean O'Malley,loss,0.7251211181143921,loss
Kai Kara-France,Cody Garbrandt,win,0.644219129088844,win
Geoff Neal,Santiago Ponzinibbio,loss,0.5221132047677807,win
Charles Oliveira,Dustin Poirier,win,0.6816854543539896,win
Jordan Leavitt,Matt Sayles,win,0.5059027694260873,win
Don'Tale Mayes,Josh Parisian,win,0.5883780127548569,win
Charles Jourdain,Andre Ewell,win,0.7526678149143732,win
Dustin Stoltzfus,Gerald Meerschaert,win,0.590457409039934,loss
Cub Swanson,Darren Elkins,win,0.7940397408454523,win
Diego Ferreira,Mateusz Gamrot,win,0.6777319262489776,loss
Raphael Assuncao,Ricky Simon,loss,0.7888725869112385,loss
Stephen Thompson,Belal Muhammad,loss,0.6432296174349713,loss
Derrick Lewis,Chris Daukaus,loss,0.6462789773239799,win
TJ Brown,Charles Rosa,win,0.6428312372450109,win
Brian Kelleher,Kevin Croom,win,0.8545182463712528,win
Court McGee,Ramiz Brahimaj,win,0.8402740911834855,win
Brandon Royval,Rogerio Bontorin,win,0.5646336578483184,win
Jake Collier,Chase Sherman,win,0.7581456252820876,win
Calvin Kattar,Giga Chikadze,loss,0.6122460375273006,win
Cody Stamann,Said Nurmagomedov,win,0.5180482605053031,loss
Brandon Moreno,Deiveson Figueiredo,win,0.5879481504588137,loss
Francis Ngannou,Ciryl Gane,loss,0.7687437209127139,win
Jason Witt,Phil Rowe,win,0.7649798908128517,loss
Hakeem Dawodu,Michael Trizano,loss,0.6984916001760985,win
Miles Johns,John Castaneda,win,0.7644551304968337,loss
Julian Erosa,Steven Peterson,win,0.513305487409578,win
Sam Alvey,Brendan Allen,loss,0.7368762076307692,loss
Shavkat Rakhmonov,Carlston Harris,win,0.5545780003199337,win
Jack Hermansson,Sean Strickland,loss,0.5185985254831121,loss
William Knight,Maxim Grishin,win,0.6199116127343982,loss
Douglas Silva de Andrade,Sergey Morozov,loss,0.6038657413153442,win
Andrei Arlovski,Jared Vanderaa,win,0.7140325154417193,win
Bobby Green,Nasrat Haqparast,win,0.7637955454616399,win
Alexander Hernandez,Renato Moicano,win,0.6358693303807041,loss
Jared Cannonier,Derek Brunson,loss,0.5779713317800236,win
Derrick Lewis,Tai Tuivasa,loss,0.5330825443930464,loss
Israel Adesanya,Robert Whittaker,win,0.6350125300023287,win
Joaquin Buckley,Abdul Razak Alhassan,win,0.8844187818551914,win
Parker Porter,Alan Baudot,win,0.8274102966341694,win
Kyle Daukaus,Jamie Pickett,win,0.7198332747907377,win
Johnny Walker,Jamahal Hill,win,0.6432144256681294,loss
Alejandro Perez,Jonathan Martinez,loss,0.5623505415943953,loss
Rongzhu,Ignacio Bahamondes,loss,0.5679007821509544,loss
Arman Tsarukyan,Joel Alvarez,win,0.6180218875033079,win
Misha Cirkunov,Wellington Turman,win,0.7446974061133215,loss
Islam Makhachev,Bobby Green,win,0.914436282948236,win
Dustin Jacoby,Michal Oleksiejczuk,win,0.6148010974352659,win
Devonte Smith,Ludovit Klein,win,0.6424671454297501,loss
Tim Elliott,Tagir Ulanbekov,win,0.6278565843045951,win
Nicolae Negumereanu,Kennedy Nzechukwu,loss,0.6477947862577722,win
